prey_desc,count,min_weight,max_weight,weight source,avian_size_class,class,notes
round-tailed ground squirrel,3,110,170,ADW,na,mammalia,
CEDW,3,24,43,Pyle,Small,aves,
CARW,3,15.7,22.8,Pyle,Small,aves,
BLPH,3,17,22,Pyle,Small,aves,
BCCH,3,8.5,13.5,Pyle,Small,aves,
raccoon,2,1800,10400,ADW,na,mammalia,
AMWO,2,116,279,Birds of the World,Large,aves,
AMKE,2,80,165,Birds of the World,Medium,aves,
STJA,2,104,139,Pyle,Medium,aves,
RWBL/COGR,2,28,114,Pyle,Medium,aves,
WOSJ,2,67,101,Pyle,Medium,aves,
GIWO,2,54,78,Pyle,Medium,aves,
desert spiny lizard,2,31.76,49.97,"Vitt et al., 1981",na,reptilia,"ADW says yellow-backed spiny lizard is an infraspecies to the Desert Spiny Lizard, so used same weight and changed obsv to Desert Spiny. Vitt et al. give a female and male weight range. Minimum is smallest female, maximum is largest male"
SOSP,2,16.5,48,Pyle,Small,aves,
CGDO,2,27,47,Pyle,Small,aves,
WCSP/WTSP/GCSP,2,20,35,Pyle,Small,aves,
WTSP,2,21,32,Pyle,Small,aves,
BEWR,2,8.3,11.2,Pyle,Small,aves,
arizona gray squirrel,2,540,700,"Cudworth & Koprowski, 2013",na,mammalia,paper does not give maximum weight; approximate max from Fig 2
eastern mole,2,65,140,ADW,na,mammalia,
antelope squirrel sp.,2,96,117,ADW,na,mammalia,based on white-tailed antelope squirrel
botta's pocket gopher,1,90,141,ADW,na,mammalia,"Minimum is female average, maximum is male average"
deer carcass,1,57000,137000,ADW,na,mammalia,*assuming White-tailed Deer
virginia opossum,1,1900,6000,ADW,na,mammalia,
feral cat,1,4100,5400,ADW,na,mammalia,
black-tailed jackrabbit,1,1300,3100,ADW,na,mammalia,
american mink,1,700,1600,ADW,na,mammalia,
AMWI,1,665,1330,Birds of the World,Large,aves,
NSHO,1,442,806,Birds of the world,Large,aves,
RBGU,1,300,700,Birds of the world,Large,aves,
PLCH,1,300,685,Birds of the world,Large,aves,
PBGR,1,253,568,Birds of the world,Large,aves,
HOME,1,494,515,"Zicus, 1997",Large,aves,"From Zicus, 1997 abstract"
BWTE,1,325,513,Birds of the World,Large,aves,
GWTE,1,200,450,Birds of the World,Large,aves,
CITE,1,335,401,Birds of the World,Large,aves,
LAGU,1,289,348,Birds of the world,Large,aves,Min and max were taken from averages by sex
FRGU,1,250,325,Birds of the World,Large,aves,
douglas squirrel,1,141,312,ADW,na,mammalia,
GRHE,1,219,241,Birds of the World,Large,aves,"Min is juvenile, max is adults"
NOBO,1,173,240,Birds of the world,Large,aves,Min and max were taken from averages by sex
BTGR/GTGR,1,85,225,Pyle,Large,aves,
GTGR/COGR,1,84,225,Pyle,Large,aves,
BBMA,1,141,192,Pyle,Large,aves,
RMPA,1,141,161,Birds of the world,Medium,aves,"BOTW only reports 151, added 10 on each side"
BTGR,1,100,145,Pyle,Medium,aves,
thirteen-lined ground squirrel,1,110,140,ADW,na,mammalia,
harris' antelope squirrel,1,122,126,ADW,na,mammalia,"*ADW provides two average weights, and no others. These averages were used for range."
RWBL/COGR/BHCO,1,27,114,Pyle,Medium,aves,
CBTH,1,66,97,Pyle,Medium,aves,"Mass varies with subspecies, max and min represent range for entire species"
CONI,1,47,86,Pyle,Medium,aves,
BRBL,1,45,81,Pyle,Medium,aves,
RWBL/RUBL,1,28,79,Pyle,Medium,aves,
RWBL/BHCO,1,27,79,Pyle,Medium,aves,
GIWO/LBWO,1,25,78,Pyle,Medium,aves,
dusky giant ameiva,1,58,78,ADW,na,reptilia,"ADW gives average mass of 68g, +/- 10 g to either side for min/max"
EVGR,1,45,75,Pyle,Medium,aves,
WWPA,1,49,71,Pyle,Medium,aves,
PUMA,1,42,62,Pyle,Medium,aves,
RFLO,1,45,60,Pyle,Medium,aves,
INDO,1,35,55,Pyle,Medium,aves,
GRCA,1,31,55,Pyle,Medium,aves,
YBSA,1,38,55,Pyle,Medium,aves,
EABL,1,24,35,Pyle,Small,aves,
DOWO,1,19,35,Pyle,Small,aves,
WCSP,1,20,34,Pyle,Small,aves,
broad-headed skink,1,25.43,30.03,"Watson & Burggren, 2016",na,reptilia,"Watson and Burggren, 2016 gives a mass of 27.73g +/- 2.3g"
house mouse,1,12,30,ADW,na,mammalia,
budgerigar,1,26,29,Birds of the World,Small,aves,
SAPH,1,16,24,Pyle,Small,aves,
EAPH,1,16,22,Pyle,Small,aves,
ROWR,1,13.6,18.1,Pyle,Small,aves,
YRWA,1,9.2,15.5,Pyle,Small,aves,"Mass varies with subspecies, max and min represent range for entire species"
MAWR,1,8.2,13.1,Pyle,Small,aves,
red bat,1,7,13,ADW,na,mammalia,
HOWR,1,9.2,12.8,Pyle,Small,aves,
PYNU,1,8.6,12.2,Pyle,Small,aves,
CACH,1,8.1,12.1,Pyle,Small,aves,
CBCH,1,8,10.8,Pyle,Small,aves,
GCKI,1,5.3,7.3,Pyle,Small,aves,
BUSH,1,4.7,6.5,Pyle,Small,aves,
BTGN,1,4.5,6.3,Pyle,Small,aves,
fence lizard sp.,1,0.5,18,"Davis, 1967",na,reptilia,"Based on western fence lizard. Approximate, based on fig 3 in paper"
shrew sp.,1,18,30,ADW,na,mammalia,based on northern short-tailed shrew
pocket gopher sp.,1,90,141,ADW,na,mammalia,based on botta's pocket gopher
ground squirrel sp.,1,280,738,ADW,na,mammalia,based on california ground squirrel
no_prey,1,0,0,na,na,na,
